"index","objective"
921,2302403954170742
922,2303803739111182
923,2302496445999291
924,2302070066773790
925,2300499760462062
926,2300061634211748
927,2303586368644552
928,2299242554543964
929,2297211243951826
930,2298865852681877
931,2302503704502283
932,2303257276377178
933,2298965442591969
934,2298007066116672
935,2303319521373125
936,2303793497375574
937,2303421930463908
938,2303164458422808
939,2300072921843946
940,2295550529379283
941,2299763971644056
942,2299632016151390
943,2287222970142974
944,2304018431152581
945,2303399548635270
946,2303955429778482
947,2303091023723410
948,2301084083665732
949,2300484585688468
950,2299945843466907
951,2303607405244903
952,2299534768658566
953,2292868915857624
954,2299921501474852
955,2303288037983462
956,2300466601041707
957,2303190182149765
958,2298235339102664
959,2302825412531588
960,2293711820470288
961,2296566322007798
962,2299760441704756
963,2302544426986826
964,2303235323091961
965,2302121178887980
966,2303251005391622
967,2301608680109668
968,2303318827823126
969,2303864636918337
970,2303394463262087
971,2303597141962786
972,2303676920645708
973,2299867856156568
974,2303247394383115
975,2304094225998235
976,2303747577278007
977,2302610891578046
978,2300566287741378
979,2303613469933648
980,2302826837750786
981,2303492052013304
982,2300281447008320
983,2302319735353022
984,2303735136257614
985,2301541259106965
986,2300377045796901
987,2303794259572016
988,2302507694551712
989,2297563058534134
990,2303637585769159
991,2297781979669263
992,2303698572093576
993,2302768854918624
994,2302587837869570
995,2303486241099550
996,2304154201354568
997,2302512436118951
998,2302632576683728
999,2294679343987838
1000,2294037368690576
1001,2300901271181388
1002,2300840749567740
1003,2303896729825266
1004,2300810496585090
1005,2302371571632707
1006,2300770786391327
1007,2301412268986964
1008,2292527466706520
1009,2303795564692230
1010,2300929975019126
1011,2303941973514646
1012,2299357498882184
1013,2303407355535894
1014,2303418153331560
1015,2300561794174916
1016,2302691140219858
1017,2303877119479920
1018,2303886639468267
1019,2294491542963024
1020,2299625547221247
1021,2303980701381032
1022,2300591759709020
1023,2301827449745136
1024,2302775816222148
1025,2293466259819002
1026,2299597576899242
1027,2302029124169450
1028,2301102632814374
1029,2294701580712756
1030,2298867497254700
1031,2298234812955697
1032,2300468878159192
1033,2303855559476841
1034,2300880022810062
1035,2302377907461800
1036,2303663075021980
1037,2302062354764708
1038,2303684381885244
1039,2303009551989726
1040,2301498379477928
1041,2303007763968725
1042,2302666628516564
1043,2301049362757224
1044,2303578458349464
1045,2301949212703636
1046,2302957718255940
1047,2302220975868047
1048,2290379820754966
1049,2300768417078716
1050,2302941925639588
1051,2303678736189668
1052,2303331654504352
1053,2303700404465232
1054,2293870849324074
1055,2301205655473504
1056,2300293384326936
1057,2303307916367977
1058,2303686432912636
1059,2293441646636167
1060,2304029059965576
1061,2300685834805709
1062,2302024766151780
1063,2303870887932956
1064,2303390877811435
1065,2302535839491537
1066,2288457266271414
1067,2302847496402242
1068,2287616261788745
1069,2300203672198910
1070,2288259997346296
1071,2304094269444478
1072,2300088302559777
1073,2296923370534216
1074,2304129415321862
1075,2302309134805952
1076,2303683588297790
1077,2304159154026706
1078,2304157016703934
1079,2287905549813962
1080,2303952321002726
1081,2302377803439112
1082,2288495867621430
1083,2303788838434384
1084,2302508994315450
1085,2299574653961136
1086,2302810062585178
1087,2302530169340184
1088,2304169784176654
1089,2302148768137079
1090,2304021996707542
1091,2303689702449354
1092,2299649035001030
1093,2302337975500817
1094,2303882967488225
1095,2302837757214884
1096,2303983928963454
1097,2304127041915264
1098,2304018364340542
1099,2302622636654113
1100,2303969175616850
1101,2304143923640450
1102,2303763501728058
1103,2301295979333314
1104,2302473025750408
1105,2303909465548102
1106,2301960416734910
1107,2303184738379036
1108,2304117537691881
1109,2303013605003020
1110,2303638937214714
1111,2303274959766210
1112,2303973062972410
1113,2303932105630428
1114,2303461357033370
1115,2303565739168673
1116,2292396041853690
1117,2302427528505014
1118,2302448676777889
1119,2302597389711058
1120,2303781759653640
1121,2300638327284166
1122,2304006863368523
1123,2304142932914810
1124,2302341713433334
1125,2303838467678568
1126,2299490047728668
1127,2304028459103091
1128,2301871765811594
1129,2303694970782814
1130,2299488118243044
1131,2299391760145936
1132,2303646678002654
1133,2303309630421296
1134,2302526970855291
1135,2301835691056128
1136,2302232651786739
1137,2302971553056938
1138,2303876034413036
1139,2302610564920897
1140,2299803633135422
1141,2296779833810434
1142,2304102653842911
1143,2302497349027854
1144,2302294086574788
1145,2302951357388559
1146,2303897664934940
1147,2298071326263100
1148,2303920050870272
1149,2303894117953058
1150,2300950657189075
1151,2303393515927130
1152,2302455826878515
1153,2298342196821548
1154,2301971399691480
1155,2303605219282936
1156,2302338074668995
1157,2303864190968578
1158,2303896234302448
1159,2302856659331982
1160,2303771427862398
1161,2302103386479866
1162,2303823237840926
1163,2302928564414803
1164,2303626429030282
1165,2298599482421625
1166,2300661152075946
1167,2303116264950337
1168,2303631642008747
1169,2300777343849880
1170,2301815181535844
1171,2298388443784586
1172,2303821666002526
1173,2303350833427276
1174,2301159454361407
1175,2301722615019484
1176,2303053618068632
1177,2302696383727635
1178,2303851267428058
1179,2302310543205070
1180,2303332845296222
1181,2301828970348770
1182,2302924921737237
1183,2300940448190408
1184,2301914565788862
1185,2301921854089066
1186,2303845569579214
1187,2301954738189442
1188,2303529077392724
1189,2302768295969300
1190,2302819267282306
1191,2302402906351004
1192,2302751058247992
1193,2299041462497991
1194,2302484105123294
1195,2302007982840106
1196,2302151860582886
1197,2298732199276120
1198,2303062746567139
1199,2303261546133698
1200,2302225435565252
1201,2301821944354946
1202,2302296600907676
1203,2302404655805619
1204,2304022303061744
1205,2302908625867819
1206,2303391110895390
1207,2302922977915944
1208,2302108434012873
1209,2303028145797044
1210,2302444629895599
1211,2303867308142888
1212,2302398249322096
1213,2302658014602606
1214,2303743620364369
1215,2303818195195396
1216,2302720213019196
1217,2302541493440929
